objectID,title,artistDisplayName,artistRole,objectDate,period,culture,medium,dimensions,department,objectURL,primaryImage,primaryImageSmall,isPublicDomain,localImageFileName,artist_slug,object_year,has_local_image,image_path,metadata_source
436551,"Ferdinand VII (1784–1833), When Prince of Asturias",Goya,Artist,ca. 1800,,,Oil on canvas,32 3/4 x 26 1/4 in. (83.2 x 66.7 cm),European Paintings,https://www.metmuseum.org/art/collection/search/436551,https://images.metmuseum.org/CRDImages/ep/original/DP-22708-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-22708-001.jpg,True,goya_436551.jpg,goya,1800.0,True,met_art_data/images/goya_436551.jpg,met_collection_api_2026-04-09
464132,Right Leaf of a Diptych,Unknown Artist,,14th century,,French,Elephant ivory,Overall: 6 11/16 x 4 5/16 x 3/8 in. (17 x 11 x 1 cm),Medieval Art,https://www.metmuseum.org/art/collection/search/464132,https://images.metmuseum.org/CRDImages/md/original/sf17-190-176s1.jpg,https://images.metmuseum.org/CRDImages/md/web-large/sf17-190-176s1.jpg,True,unknown_artist_464132.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_464132.jpg,met_collection_api_2026-04-09
828497,An Old Man with a Dog,Giacomo Ceruti,Artist,1740s,,,Oil on canvas,25 9/16 × 17 11/16 in. (65 × 45 cm),European Paintings,https://www.metmuseum.org/art/collection/search/828497,https://images.metmuseum.org/CRDImages/ep/original/DP-18781-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-18781-001.jpg,True,giacomo_ceruti_828497.jpg,giacomo_ceruti,1740.0,True,met_art_data/images/giacomo_ceruti_828497.jpg,met_collection_api_2026-04-09
40007,Cloudy Mountains,Mi Youren,Artist,before 1200,Southern Song dynasty (1127–1279),China,Handscroll; ink on paper,"Image: 10 7/8 × 22 7/16 in. (27.6 × 57 cm)
Overall with mounting: 11 3/16 in. × 24 ft. 6 3/16 in. (28.4 × 747.2 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/40007,https://images.metmuseum.org/CRDImages/as/original/DP212993_4_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP212993_4_CRD.jpg,True,mi_youren_40007.jpg,mi_youren,1200.0,True,met_art_data/images/mi_youren_40007.jpg,met_collection_api_2026-04-09
451262,"""Great Hornbill"", Folio from the Shah Jahan Album",Mansur,Artist,recto: ca. 1540; verso: ca. 1615–20,,,"Ink, opaque watercolor, and gold on paper","H. 15 1/4 in. (38.7 cm)
W. 10 1/2 in. (26.7 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/451262,https://images.metmuseum.org/CRDImages/is/original/DP246533.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP246533.jpg,True,mansur_451262.jpg,mansur,1540.0,True,met_art_data/images/mansur_451262.jpg,met_collection_api_2026-04-09
437376,A Cat Stealing Fish,Giuseppe Recco,Artist,late 1660s,,,Oil on canvas,38 x 50 1/2 in. (96.5 x 128.3 cm),European Paintings,https://www.metmuseum.org/art/collection/search/437376,https://images.metmuseum.org/CRDImages/ep/original/DP-1149-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1149-001.jpg,True,giuseppe_recco_437376.jpg,giuseppe_recco,1660.0,True,met_art_data/images/giuseppe_recco_437376.jpg,met_collection_api_2026-04-09
49187,Wangchuan Villa,Wang Yuanqi,Artist,dated 1711,Qing dynasty (1644–1911),China,Handscroll; ink and color on paper,"Image: 14 in. x 17 ft. 10 3/4 in. (35.6 x 545.5 cm)
Overall with mounting: 14 3/8 in. x 34 ft. 7 1/2 in. (36.5 x 1055.4 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/49187,https://images.metmuseum.org/CRDImages/as/original/DP214271_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP214271_CRD.jpg,True,wang_yuanqi_49187.jpg,wang_yuanqi,1711.0,True,met_art_data/images/wang_yuanqi_49187.jpg,met_collection_api_2026-04-09
451726,"""Shaikh San'an beneath the Window of the Christian Maiden"", Folio18r  from a Mantiq al-Tayr (Language of the Birds)",Farid al-Din `Attar,Author,ca. 1600,,,"Opaque watercolor, silver, and gold on paper","Painting: H. 2 7/8 in. (7.4 cm)
                W. 4 1/2 in. (11.4 cm)
Page: H. 13 in. (33 cm)
          W. 8 1/2 in. (21.6 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/451726,https://images.metmuseum.org/CRDImages/is/original/DP247743.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP247743.jpg,True,farid_aldin_attar_451726.jpg,farid_aldin_attar,1600.0,True,met_art_data/images/farid_aldin_attar_451726.jpg,met_collection_api_2026-04-09
40285,Poems on painting plum blossoms and bamboo,Zhao Mengjian,Artist,dated 1260,Southern Song dynasty (1127–1279),China,Handscroll; ink on paper,"Image: 13 3/8 in. × 11 ft. 7 in. (34 × 353.1 cm)
Overall with mounting: 13 5/8 in. × 40 ft. 5 11/16 in. (34.6 × 1233.6 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/40285,https://images.metmuseum.org/CRDImages/as/original/DP146538_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP146538_CRD.jpg,True,zhao_mengjian_40285.jpg,zhao_mengjian,1260.0,True,met_art_data/images/zhao_mengjian_40285.jpg,met_collection_api_2026-04-09
202686,Longcase clock,Thomas Dickenson,Maker,ca. 1807,,,"Case: rosewood, coniferous wood veneered with mahogany and inlaid with bands of holly, stained holly and bone, and brass; Dial: painted enamel on copper with brass hour hands; Movement: brass and steel",Overall: 101 × 18 × 9 1/8 in. (256.5 × 45.7 × 23.2 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/202686,https://images.metmuseum.org/CRDImages/es/original/DP346435.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP346435.jpg,True,thomas_dickenson_202686.jpg,thomas_dickenson,1807.0,True,met_art_data/images/thomas_dickenson_202686.jpg,met_collection_api_2026-04-09
453895,Youth and Dervish,Unknown Artist,,second quarter 17th century,,,"Ink, opaque watercolor, and gold on paper (tinted drawing)","H. 9 1/2 in. (24.1 cm)
W. 7in. (17.8 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/453895,https://images.metmuseum.org/CRDImages/is/original/DP299968.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP299968.jpg,True,unknown_artist_453895.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_453895.jpg,met_collection_api_2026-04-09
452364,Mirror with Split-Leaf Palmette Design Inlaid with Gold,Unknown Artist,,early 16th century,,,"Iron, inlaid with gold; ivory","H. 9 3/8 in. (23.8 cm)
Diam. 4 3/4 in. (12.1 cm)
D. 1/8 in. (0.2 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/452364,https://images.metmuseum.org/CRDImages/is/original/DP170394.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP170394.jpg,True,unknown_artist_452364.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_452364.jpg,met_collection_api_2026-04-09
451264,"""Jahangir and his Father, Akbar"", Folio from the Shah Jahan Album",Balachand,Artist,verso: ca. 1630; recto: ca.1540–50,,,"Ink, opaque watercolor, and gold on paper","H. 15 3/8 in. (39 cm)
W. 10 3/8 in. (26.3 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/451264,https://images.metmuseum.org/CRDImages/is/original/DP240813.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP240813.jpg,True,balachand_451264.jpg,balachand,1630.0,True,met_art_data/images/balachand_451264.jpg,met_collection_api_2026-04-09
